,PC1_loading,PC2_loading
us_china_tension,-0.10954750149154432,0.5262952896602948
shared_infrastructure,0.3691617328159225,0.3107894885857437
scientific_openness,0.3139069063595755,0.23290233036770433
mars_progress,-0.02529006464780781,0.37924247010783607
neutral_access,0.07835301264775858,-0.4726044669824116
us_power,-0.08625634151969189,0.25857677552264907
china_power,-0.10051186144680442,-0.16194201043023326
us_public_cooperation,0.4739834923893907,-0.1546335582465016
china_public_cooperation,0.4739834923893907,-0.1546335582465016
third_force_strength,0.2769761532537795,0.25314813021599203
international_trust,0.4503591342359833,-0.0023704312668717956
